mode,stl_id,reference_image,test_object_1,test_object_2
stimuli_A_auto_contrast,18,stimuli_per_stl_packages/stimuli_A_auto_contrast/18/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/18/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/18/test_object_2.png
stimuli_A_auto_contrast,19,stimuli_per_stl_packages/stimuli_A_auto_contrast/19/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/19/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/19/test_object_2.png
stimuli_A_auto_contrast,20,stimuli_per_stl_packages/stimuli_A_auto_contrast/20/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/20/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/20/test_object_2.png
stimuli_A_auto_contrast,21,stimuli_per_stl_packages/stimuli_A_auto_contrast/21/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/21/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/21/test_object_2.png
stimuli_A_auto_contrast,22,stimuli_per_stl_packages/stimuli_A_auto_contrast/22/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/22/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/22/test_object_2.png
stimuli_A_auto_contrast,23,stimuli_per_stl_packages/stimuli_A_auto_contrast/23/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/23/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/23/test_object_2.png
stimuli_A_auto_contrast,24,stimuli_per_stl_packages/stimuli_A_auto_contrast/24/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/24/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/24/test_object_2.png
stimuli_A_auto_contrast,25,stimuli_per_stl_packages/stimuli_A_auto_contrast/25/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/25/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/25/test_object_2.png
stimuli_A_auto_contrast,26,stimuli_per_stl_packages/stimuli_A_auto_contrast/26/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/26/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/26/test_object_2.png
stimuli_A_auto_contrast,27,stimuli_per_stl_packages/stimuli_A_auto_contrast/27/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/27/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/27/test_object_2.png
stimuli_A_auto_contrast,28,stimuli_per_stl_packages/stimuli_A_auto_contrast/28/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/28/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/28/test_object_2.png
stimuli_A_auto_contrast,29,stimuli_per_stl_packages/stimuli_A_auto_contrast/29/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/29/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/29/test_object_2.png
stimuli_A_auto_contrast,30,stimuli_per_stl_packages/stimuli_A_auto_contrast/30/reference_image.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/30/test_object_1.png,stimuli_per_stl_packages/stimuli_A_auto_contrast/30/test_object_2.png
